"time","u_ext","T_amb_ext","T_Out_ext"
0,1,20,20
0.5,1,20,20.0747
1,3,20,20.1478
1.5,3,20,20.2196
2,3,20,20.29
2.5,3,20,20.359
3,3,20,20.4265
3.5,3,20,20.5425
4,3,20,20.7534
4.5,3,20,20.9615
5,3,20,21.1658
5.5,3,20,21.3663
6,3,20,21.5626
6.5,3,20,21.7548
7,3,20,21.9429
7.5,3,20,22.1271
8,3,20,22.3075
8.5,3,20,22.4839
9,3,20,22.6564
9.5,3,20,22.8255
10,3,20,22.9909
10.5,3,20,23.1527
11,3,20,23.3109
11.5,3,20,23.4659
12,3,20,23.6175
12.5,3,20,23.7657
13,3,20,23.9109
13.5,3,20,24.0531
14,3,20,24.1922
14.5,3,20,24.3282
15,3,20,24.4612
15.5,3,20,24.5912
16,3,20,24.7184
16.5,3,20,24.843
17,3,20,24.9649
17.5,3,20,25.0841
18,3,20,25.2006
18.5,3,20,25.3147
19,3,20,25.4262
19.5,3,20,25.5353
20,3,20,25.6421
20.5,3,20,25.7465
21,3,20,25.8487
21.5,3,20,25.9488
22,3,20,26.0466
22.5,3,20,26.1423
23,3,20,26.2359
23.5,3,20,26.3275
24,3,20,26.4172
24.5,3,20,26.5049
25,3,20,26.5908
25.5,3,20,26.6748
26,3,20,26.757
26.5,3,20,26.8374
27,3,20,26.916
27.5,3,20,26.9931
28,3,20,27.0684
28.5,3,20,27.1422
29,3,20,27.2143
29.5,3,20,27.2849
30,3,20,27.354
30.5,3,20,27.4216
31,3,20,27.4877
31.5,3,20,27.5525
32,3,20,27.6158
32.5,3,20,27.6777
33,3,20,27.7383
33.5,3,20,27.7976
34,3,20,27.8556
34.5,3,20,27.9124
35,3,20,27.9679
35.5,3,20,28.0223
36,3,20,28.0756
36.5,3,20,28.1277
37,3,20,28.1786
37.5,3,20,28.2284
38,3,20,28.2772
38.5,3,20,28.3249
39,3,20,28.3716
39.5,3,20,28.4173
40,3,20,28.462
40.5,3,20,28.5058
41,3,20,28.5486
41.5,3,20,28.5906
42,3,20,28.6316
42.5,3,20,28.6717
43,3,20,28.711
43.5,3,20,28.7495
44,3,20,28.7871
44.5,3,20,28.8239
45,3,20,28.8599
45.5,3,20,28.8952
46,3,20,28.9297
46.5,3,20,28.9635
47,3,20,28.9965
47.5,3,20,29.0289
48,3,20,29.0605
48.5,3,20,29.0915
49,3,20,29.1218
49.5,3,20,29.1515
50,3,20,29.1805
50.5,3,20,29.2089
51,3,20,29.2367
51.5,3,20,29.2639
52,3,20,29.2905
52.5,3,20,29.3165
53,3,20,29.3421
53.5,3,20,29.3671
54,3,20,29.3915
54.5,3,20,29.4155
55,3,20,29.4389
55.5,3,20,29.4619
56,3,20,29.4843
56.5,3,20,29.5063
57,3,20,29.5278
57.5,3,20,29.5488
58,3,20,29.5694
58.5,3,20,29.5895
59,3,20,29.6091
59.5,3,20,29.6283
60,3,20,29.6471
60.5,3,20,29.6655
61,3,20,29.6836
61.5,3,20,29.7014
62,3,20,29.7187
62.5,3,20,29.7357
63,3,20,29.7523
63.5,3,20,29.7686
64,3,20,29.7845
64.5,3,20,29.8001
65,3,20,29.8153
65.5,3,20,29.8302
66,3,20,29.8448
66.5,3,20,29.859
67,3,20,29.8729
67.5,3,20,29.8865
68,3,20,29.8998
68.5,3,20,29.9128
69,3,20,29.9254
69.5,3,20,29.938
70,3,20,29.9502
70.5,3,20,29.9622
71,3,20,29.9739
71.5,3,20,29.9854
72,3,20,29.9966
72.5,3,20,30.0076
73,3,20,30.0184
73.5,3,20,30.0289
74,3,20,30.0391
74.5,3,20,30.0492
75,3,20,30.059
75.5,3,20,30.0685
76,3,20,30.0779
76.5,3,20,30.087
77,3,20,30.0959
77.5,3,20,30.1046
78,3,20,30.1132
78.5,3,20,30.1217
79,3,20,30.1299
79.5,3,20,30.1379
80,3,20,30.1458
80.5,3,20,30.1535
81,3,20,30.1611
81.5,3,20,30.1684
82,3,20,30.1756
82.5,3,20,30.1827
83,3,20,30.1896
83.5,3,20,30.1963
84,3,20,30.2029
84.5,3,20,30.2093
85,3,20,30.2156
85.5,3,20,30.2217
86,3,20,30.2277
86.5,3,20,30.2336
87,3,20,30.2394
87.5,3,20,30.245
88,3,20,30.2505
88.5,3,20,30.2559
89,3,20,30.2612
89.5,3,20,30.2664
90,3,20,30.2714
90.5,3,20,30.2764
91,3,20,30.2812
91.5,3,20,30.2859
92,3,20,30.2906
92.5,3,20,30.2951
93,3,20,30.2995
93.5,3,20,30.3038
94,3,20,30.3081
94.5,3,20,30.3122
95,3,20,30.3163
95.5,3,20,30.3202
96,3,20,30.3241
96.5,3,20,30.3279
97,3,20,30.3316
97.5,3,20,30.3353
98,3,20,30.3388
98.5,3,20,30.3423
99,3,20,30.3457
99.5,3,20,30.3491
100,3,20,30.3523
100.5,1,20,30.3555
101,1,20,30.3586
101.5,1,20,30.3616
102,1,20,30.3646
102.5,1,20,30.3595
103,1,20,30.2837
103.5,1,20,30.141
104,1,20,29.9996
104.5,1,20,29.8611
105,1,20,29.7252
105.5,1,20,29.5917
106,1,20,29.4608
106.5,1,20,29.3327
107,1,20,29.2072
107.5,1,20,29.0844
108,1,20,28.9643
108.5,1,20,28.8464
109,1,20,28.731
109.5,1,20,28.618
110,1,20,28.5076
110.5,1,20,28.3996
111,1,20,28.2941
111.5,1,20,28.1903
112,1,20,28.0889
112.5,1,20,27.9896
113,1,20,27.8927
113.5,1,20,27.798
114,1,20,27.7052
114.5,1,20,27.6141
115,1,20,27.5251
115.5,1,20,27.438
116,1,20,27.353
116.5,1,20,27.27
117,1,20,27.1886
117.5,1,20,27.109
118,1,20,27.0311
118.5,1,20,26.9549
119,1,20,26.8805
119.5,1,20,26.8077
120,1,20,26.7365
120.5,1,20,26.6669
121,1,20,26.5987
121.5,1,20,26.532
122,1,20,26.4668
122.5,1,20,26.403
123,1,20,26.3406
123.5,1,20,26.2796
124,1,20,26.2199
124.5,1,20,26.1614
125,1,20,26.1043
125.5,1,20,26.0483
126,1,20,25.9935
126.5,1,20,25.94
127,1,20,25.8876
127.5,1,20,25.8363
128,1,20,25.7861
128.5,1,20,25.737
