"time","T_Out_ext","T_amb_ext","u_ext"
0,20,20,1
0.5,20.0761,20,1
1,20.1505,20,3
1.5,20.2233,20,3
2,20.2946,20,3
2.5,20.3642,20,3
3,20.4324,20,3
3.5,20.4991,20,3
4,20.6405,20,3
4.5,20.8548,20,3
5,21.0645,20,3
5.5,21.2696,20,3
6,21.4703,20,3
6.5,21.6666,20,3
7,21.8586,20,3
7.5,22.0465,20,3
8,22.2302,20,3
8.5,22.41,20,3
9,22.5859,20,3
9.5,22.7579,20,3
10,22.9262,20,3
10.5,23.0909,20,3
11,23.252,20,3
11.5,23.4095,20,3
12,23.5637,20,3
12.5,23.7145,20,3
13,23.862,20,3
13.5,24.0063,20,3
14,24.1474,20,3
14.5,24.2855,20,3
15,24.4206,20,3
15.5,24.5528,20,3
16,24.6821,20,3
16.5,24.8086,20,3
17,24.9323,20,3
17.5,25.0533,20,3
18,25.1717,20,3
18.5,25.2876,20,3
19,25.4009,20,3
19.5,25.5117,20,3
20,25.6202,20,3
20.5,25.7262,20,3
21,25.83,20,3
21.5,25.9315,20,3
22,26.0309,20,3
22.5,26.128,20,3
23,26.2231,20,3
23.5,26.316,20,3
24,26.407,20,3
24.5,26.496,20,3
25,26.583,20,3
25.5,26.6682,20,3
26,26.7515,20,3
26.5,26.833,20,3
27,26.9127,20,3
27.5,26.9907,20,3
28,27.067,20,3
28.5,27.1416,20,3
29,27.2146,20,3
29.5,27.286,20,3
30,27.3559,20,3
30.5,27.4242,20,3
31,27.4911,20,3
31.5,27.5565,20,3
32,27.6205,20,3
32.5,27.6831,20,3
33,27.7443,20,3
33.5,27.8042,20,3
34,27.8628,20,3
34.5,27.9202,20,3
35,27.9763,20,3
35.5,28.0311,20,3
36,28.0848,20,3
36.5,28.1373,20,3
37,28.1887,20,3
37.5,28.2389,20,3
38,28.2881,20,3
38.5,28.3361,20,3
39,28.3832,20,3
39.5,28.4292,20,3
40,28.4742,20,3
40.5,28.5183,20,3
41,28.5613,20,3
41.5,28.6035,20,3
42,28.6447,20,3
42.5,28.685,20,3
43,28.7245,20,3
43.5,28.7631,20,3
44,28.8009,20,3
