"time","T_Out_ext","T_amb_ext","u_ext"
0,20,20,1
0.5,20.0761,20,1
1,20.1505,20,3
1.5,20.2233,20,3
2,20.2946,20,3
2.5,20.3642,20,3
3,20.4324,20,3
3.5,20.4991,20,3
4,20.5643,20,3
4.5,20.7803,20,3
5,20.9916,20,3
5.5,21.1983,20,3
6,21.4005,20,3
6.5,21.5984,20,3
7,21.7919,20,3
7.5,21.9812,20,3
8,22.1664,20,3
8.5,22.3475,20,3
9,22.5248,20,3
9.5,22.6981,20,3
10,22.8677,20,3
10.5,23.0337,20,3
11,23.196,20,3
11.5,23.3548,20,3
12,23.5101,20,3
12.5,23.662,20,3
13,23.8107,20,3
13.5,23.9561,20,3
14,24.0984,20,3
14.5,24.2375,20,3
15,24.3737,20,3
15.5,24.5069,20,3
16,24.6371,20,3
16.5,24.7646,20,3
17,24.8893,20,3
17.5,25.0113,20,3
18,25.1306,20,3
18.5,25.2473,20,3
19,25.3615,20,3
19.5,25.4732,20,3
20,25.5825,20,3
20.5,25.6894,20,3
21,25.794,20,3
21.5,25.8963,20,3
22,25.9963,20,3
22.5,26.0942,20,3
23,26.19,20,3
23.5,26.2837,20,3
24,26.3754,20,3
24.5,26.465,20,3
25,26.5528,20,3
25.5,26.6386,20,3
26,26.7225,20,3
26.5,26.8046,20,3
27,26.885,20,3
27.5,26.9636,20,3
28,27.0404,20,3
28.5,27.1156,20,3
29,27.1892,20,3
29.5,27.2612,20,3
30,27.3316,20,3
30.5,27.4005,20,3
31,27.4679,20,3
31.5,27.5338,20,3
32,27.5983,20,3
32.5,27.6613,20,3
33,27.723,20,3
33.5,27.7834,20,3
34,27.8425,20,3
34.5,27.9002,20,3
35,27.9568,20,3
35.5,28.0121,20,3
36,28.0661,20,3
36.5,28.119,20,3
37,28.1708,20,3
37.5,28.2214,20,3
38,28.271,20,3
38.5,28.3194,20,3
39,28.3668,20,3
39.5,28.4132,20,3
40,28.4586,20,3
40.5,28.503,20,3
41,28.5464,20,3
41.5,28.5888,20,3
42,28.6304,20,3
42.5,28.671,20,3
43,28.7108,20,3
43.5,28.7497,20,3
