time,T_Out,T_amb,u
0,20,20,1
0.5,20.07526729957764,20,3
1,20.14891812947989,20,3
1.5,20.22098469942151,20,3
2,20.29149979509758,20,3
2.5,20.36049652474515,20,3
3,20.42801641499747,20,3
3.5,20.64455838053635,20,3
4,20.85650489337692,20,3
4.5,21.063895133521,20,3
5,21.26682533188035,20,3
5.5,21.46538426073434,20,3
6,21.65966739011235,20,3
6.5,21.84977043195736,20,3
7,22.03578636338095,20,3
7.5,22.21780312249111,20,3
8,22.39590384703883,20,3
8.5,22.57017435756799,20,3
9,22.74069857906478,20,3
9.5,22.90755464374212,20,3
10,23.0708225461866,20,3
10.5,23.23058010550095,20,3
11,23.38690187587537,20,3
11.5,23.53986227063735,20,3
12,23.68953455423678,20,3
12.5,23.83598981160429,20,3
13,23.97929623460586,20,3
13.5,24.11952134943832,20,3
14,24.25673106789139,20,3
14.5,24.39099067125421,20,3
15,24.52236374217333,20,3
15.5,24.65091208162664,20,3
16,24.77669552609046,20,3
16.5,24.89977330056042,20,3
17,25.02020417989999,20,3
17.5,25.13804537997775,20,3
18,25.25335234159845,20,3
18.5,25.36617962834663,20,3
19,25.47658049468771,20,3
19.5,25.58460705925822,20,3
20,25.69031110655941,20,3
20.5,25.79374245366682,20,3
21,25.8949500431145,20,3
21.5,25.99398168805472,20,3
22,26.09088407225801,20,3
22.5,26.18570309841551,20,3
23,26.27848353417558,20,3
23.5,26.36926865195968,20,3
24,26.45810081730669,20,3
24.5,26.54502129028456,20,3
25,26.6300745321349,20,3
25.5,26.71329934771491,20,3
26,26.79473442050498,20,3
26.5,26.87441786692106,20,3
27,26.95238723221924,20,3
27.5,27.02868064990042,20,3
28,27.10333287538853,20,3
28.5,27.17637870317614,20,3
29,27.24785208699435,20,3
29.5,27.31779034918655,20,3
30,27.38622473841995,20,3
30.5,27.45318758188913,20,3
31,27.51871044186237,20,3
31.5,27.58282439275764,20,3
32,27.64555950878286,20,3
32.5,27.70694511562333,20,3
33,27.76700982533991,20,3
33.5,27.82578306014884,20,3
34,27.88329307584044,20,3
34.5,27.93956639615945,20,3
35,27.99462949599779,20,3
35.5,28.0485084740862,20,3
36,28.10122900559446,20,3
36.5,28.15281559498798,20,3
37,28.20329235567657,20,3
37.5,28.25268315205493,20,3
38,28.30101260670694,20,3
38.5,28.34830275476543,20,3
39,28.39457584537232,20,3
39.5,28.43985360023666,20,3
40,28.48415779631935,20,3
40.5,28.52750905343119,20,3
41,28.56992773389017,20,3
41.5,28.61143372301281,20,3
42,28.65204713379002,20,3
42.5,28.69178712322591,20,3
43,28.73067249164001,20,3
43.5,28.76872176097443,20,3
44,28.80595261332305,20,3
44.5,28.84238246240707,20,3
45,28.87802863581159,20,3
45.5,28.912907905635,20,3
46,28.94703691483087,20,3
46.5,28.98043217338748,20,3
47,29.0131094245486,20,3
47.5,29.04508430681665,20,3
48,29.07637194683184,20,3
48.5,29.10698634419617,20,3
49,29.13694225930916,20,3
49.5,29.16625368099717,20,3
50,29.19493428661341,20,3
50.5,29.22299868259796,20,3
51,29.250459778469,20,3
51.5,29.27733074907116,20,3
52,29.3036245549761,20,3
52.5,29.32935257775816,20,3
53,29.35452704038387,20,3
53.5,29.3791597379782,20,3
54,29.40326199357647,20,3
54.5,29.42684597992492,20,3
55,29.44992330800607,20,3
55.5,29.47250478639574,20,3
56,29.49460145885649,20,3
56.5,29.51622328498824,20,3
57,29.53737932827012,20,3
57.5,29.5580799562007,20,3
58,29.57833454658992,20,3
58.5,29.5981527392292,20,3
59,29.61754578112733,20,3
59.5,29.63652224747275,20,3
60,29.65509160096488,20,3
60.5,29.67326310905196,20,3
61,29.6910430910323,20,3
61.5,29.70844093229763,20,3
62,29.72546460084046,20,3
62.5,29.74212177592167,20,3
63,29.75842123882913,20,3
63.5,29.77437036501971,20,3
64,29.7899765278309,20,3
64.5,29.80524706666858,20,3
65,29.82018901845582,20,3
65.5,29.83480931826981,20,3
66,29.84911481726885,20,3
66.5,29.8631121683097,20,3
67,29.87680814371577,20,3
67.5,29.89020955853055,20,3
68,29.90332273699908,20,3
68.5,29.91615410862744,20,3
69,29.92870974669446,20,3
69.5,29.94099480266114,20,3
70,29.95301546069734,20,3
70.5,29.96477730320962,20,3
71,29.97628581447818,20,3
71.5,29.98754729162531,20,3
72,29.99856682642292,20,3
72.5,30.00934982814273,20,3
73,30.01990164438061,20,3
73.5,30.03022625919508,20,3
74,30.04032868438383,20,3
74.5,30.0502135466581,20,3
75,30.05988518882577,20,3
75.5,30.06934902159419,20,3
76,30.07860985628603,20,3
76.5,30.0876719612528,20,3
77,30.09653993008597,20,3
77.5,30.10521748920665,20,3
78,30.11370796020639,20,3
78.5,30.12201577604915,20,3
79,30.130144718716,20,3
79.5,30.13809867031846,20,3
80,30.14588188220661,20,3
80.5,30.15349771291492,20,3
81,30.16094974778895,20,3
81.5,30.16824149022751,20,3
82,30.17537637725439,20,3
82.5,30.18235774079972,20,3
83,30.18918883789113,20,3
83.5,30.19587284276008,20,3
84,30.20241325261704,20,3
84.5,30.20881306663614,20,3
85,30.21507531329531,20,3
85.5,30.22120297995211,20,3
86,30.22719898773728,20,3
86.5,30.23306619155469,20,3
87,30.23880738008141,20,3
87.5,30.24442527576767,20,3
