"time","airHeaterTextWithIO.T_Out_ext","airHeaterTextWithIO.T_amb_ext","airHeaterTextWithIO.u_ext","Reference.y"
0,20,20,0,20
1.2,20,20,0,20
2.4,20,20,0,20
3.6,20,20,0,20
4.8,20,20,0,20
6,20,20,0,20
7.2,20,20,0,20
8.4,20,20,0,20
9.6,20,20,0,20
10.8,20,20,0,20
12,20,20,0,20
13.2,20,20,0,20
14.4,20,20,0,20
15.6,20,20,0,20
16.8,20,20,0,20
18,20,20,0,20
19.2,20,20,0,20
20.4,20,20,0,20
21.6,20,20,0,20
22.8,20,20,0,20
24,20,20,0,20
25.2,20,20,0,20
26.4,20,20,0,20
27.6,20,20,0,20
28.8,20,20,0,20
30,20,20,0,20
31.2,20,20,0,20
32.4,20,20,0,20
33.6,20,20,0,20
34.8,20,20,0,20
36,20,20,0,20
37.2,20,20,0,20
38.4,20,20,0,20
39.6,20,20,0,20
40.8,20,20,0,20
42,20,20,0,20
43.2,20,20,0,20
44.4,20,20,0,20
45.6,20,20,0,20
46.8,20,20,0,20
48,20,20,0,20
49.2,20,20,0,20
50.4,20,20,0,20
51.6,20,20,0,20
52.8,20,20,0,20
54,20,20,0,20
55.2,20,20,0,20
56.4,20,20,0,20
57.6,20,20,0,20
58.8,20,20,0,20
60,20,20,0,20
61.2,20,20,0,20
62.4,20,20,0,20
63.6,20,20,0,20
64.8,20,20,0,20
66,20,20,0,20
67.2,20,20,0,20
68.40000000000001,20,20,0,20
69.59999999999999,20,20,0,20
70.8,20,20,0,20
72,20,20,0,20
73.2,20,20,0,20
74.40000000000001,20,20,0,20
75.59999999999999,20,20,0,20
76.8,20,20,0,20
78,20,20,0,20
79.2,20,20,0,20
80.40000000000001,20,20,0,20
81.59999999999999,20,20,0,20
82.8,20,20,0,20
84,20,20,0,20
85.2,20,20,0,20
86.40000000000001,20,20,0,20
87.59999999999999,20,20,0,20
88.8,20,20,0,20
90,20,20,0,20
91.2,20,20,0,20
92.40000000000001,20,20,0,20
93.59999999999999,20,20,0,20
94.8,20,20,0,20
96,20,20,0,20
97.2,20,20,0,20
98.40000000000001,20,20,0,20
99.59999999999999,20,20,0,20
100.0000000101023,20,20,0,20
100.0000000101023,20,18,0,20
100.8,19.93162974786066,18,0.1102305368141737,20
102,19.83343296182652,18,0.2818091327853569,20
103.2,19.74062600819347,18,0.4599016094387411,20
104.4,19.67202371906556,18,0.6131804692203111,20
105.6,19.63745642253842,18,0.7214050385806344,20
106.8,19.63559156256974,18,0.7814145848754809,20
108,19.66065722035465,18,0.7975000799754354,20
109.2,19.70358994206471,18,0.7802853132213827,20
110.4,19.75506652636139,18,0.7422636198207175,20
111.6,19.8069674410146,18,0.6954242369130788,20
112.8,19.85345659253347,18,0.6492923665730236,20
114,19.89106565813693,18,0.6104240056085452,20
115.2,19.91865224284216,18,0.5821015867293117,20
116.4,19.93678501347835,18,0.5649760852236758,20
117.6,19.94714780473112,18,0.557775979887174,20
118.8,19.95196460762234,18,0.5580729480650019,20
120,19.95347036898983,18,0.5630695733811696,20
121.2,19.95357335438224,18,0.5701506818414739,20
122.4,19.95369771483852,18,0.5771939840240925,20
