"time","add.y","airHeaterTextWithIO.T_Out_ext"
0,20.02796639912107,20
0.5,19.98339691052976,20.00073523872581
1,20.00411222987546,20.00145330473737
1.5,19.97027768626662,20.00215045460061
2,20.10216810763034,20.00283417409966
2.5,20.06629121322773,20.00350319479455
3,19.98106407993431,20.00417040642132
3.5,19.98996936573281,20.0074221383394
4,19.93928183760485,20.01180526056087
4.5,20.06996260460236,20.01678791665412
5,20.03389898019658,20.019940576925
5.5,20.04082038887378,20.01951465444585
6,20.02543924098457,20.02188001981694
6.5,20.0464437315695,20.02622903385534
7,20.12469783001639,20.03286382018943
7.5,20.12275776691302,20.03713427376443
8,20.00621134574993,20.03635981829853
8.5,19.99483229165339,20.03557831661753
9,20.0222892749932,20.03481330831941
9.5,19.95542226104606,20.03406464515203
10,20.11230234095699,20.03333188287416
10.5,20.02130463850149,20.03261556107603
11,20.01371969348643,20.03259157678365
11.5,20.14650416923334,20.03384127668901
12,20.13441236093236,20.03439939056583
12.5,19.98060900460173,20.03730858039445
13,19.97382250610471,20.04009726424552
13.5,19.95740744208214,20.03926952893782
14,20.09813826401306,20.0387912075233
14.5,20.04428602218821,20.03827769063512
15,20.01029442535411,20.03749023211091
15.5,19.97328526840918,20.03927773033734
16,20.08414866033229,20.04418085735978
16.5,19.93205618964634,20.05067782116586
17,20.00290441203155,20.0538359895333
17.5,20.09711489539064,20.05271427891675
18,20.03974988051822,20.05347939496874
18.5,19.95696304724346,20.05850194308379
19,20.089312744915,20.06149893834131
19.5,20.06659265449088,20.06754254309832
20,19.98670431576573,20.07695899272731
20.5,20.03453638926194,20.07886833908951
21,20.10608951292455,20.07943540971095
21.5,20.15854192009814,20.08751390410644
22,20.1604376157264,20.09335411708448
22.5,20.17359129874226,20.0937663223941
23,20.15325155001527,20.10132049132818
23.5,20.18333555495992,20.11171242803344
24,20.03148823534251,20.11515854388464
24.5,20.15276673837505,20.11337115745522
25,20.21992549097432,20.11095533807659
25.5,20.04547623716845,20.10856944069639
26,20.09792206154466,20.10623454056318
26.5,20.18828192065929,20.10395546416343
27,20.05924032257836,20.10497612384183
27.5,20.22934381370971,20.10585447992878
28,20.11691204822236,20.10358690402241
28.5,20.11226657201011,20.10277913037676
29,20.16108200470206,20.10181887411336
29.5,20.11332350975799,20.09964740269906
30,19.99167922346604,20.09752122914249
30.5,20.02448501937159,20.0954367390896
31,20.16592172734832,20.09339067476493
31.5,20.16930068301618,20.09138311351028
32,20.00811205392123,20.08941717797897
32.5,20.02187794563926,20.08750418545371
33,20.05909209017052,20.08896589613384
33.5,20.17092473776352,20.09157279831225
34,19.96763150792974,20.09087669363487
34.5,20.08406155786053,20.08893307493564
35,20.11423230346916,20.08894390355461
35.5,19.96486465065971,20.08977309513128
36,20.0294715433286,20.08880334056363
36.5,20.14202996792026,20.08690209536556
37,20.07087482717963,20.08894559960311
37.5,20.19053971715225,20.09079378374364
38,20.05977014365351,20.08885046837045
38.5,20.0617783721424,20.09066032654775
39,20.05841869193423,20.09224464487468
39.5,20.06291464572105,20.09028593390734
40,20.03952709058891,20.08835289093682
40.5,20.13730257898518,20.08645492738448
41,20.09236626244223,20.0845954869669
41.5,20.13482929741842,20.08277616469342
42,20.07079871832417,20.08099571530283
42.5,19.99330184284325,20.07925340996871
43,19.97802240346147,20.07754707767638
43.5,20.13988554046051,20.07587678164829
44,20.19204802639328,20.07424276500225
44.5,20.01432781272283,20.07264486951777
45,20.13218492729835,20.07108305651373
45.5,20.10140912153064,20.070039908603
46,20.16634105398382,20.07022682320286
46.5,20.07641905907378,20.06993006099645
47,20.17428204020765,20.06843240490383
47.5,19.97658525553653,20.06696963616339
48,20.13131164858,20.06553281621817
48.5,19.95857940232355,20.0641238525326
49,20.09573876054457,20.06274443698733
49.5,19.95959661233896,20.06139491550983
50,20.06361796636004,20.06008926370188
50.5,20.10865253143651,20.05915532388013
51,20.11217037136212,20.05815642440329
51.5,20.13440601523172,20.05813644523752
52,20.03675268729445,20.0580050143308
52.5,19.95128642053517,20.0577235371464
53,20.13020648881596,20.05730158449149
53.5,20.05918755033936,20.05608610681386
54,19.92996793182442,20.05489163555073
54.5,20.10659911978602,20.05372198730517
55,20.01236590359929,20.05258548427497
55.5,20.02248848539932,20.05218680993315
56,20.1598065279792,20.0516908933468
56.5,20.09824859657042,20.05059775883734
57,20.07778805331896,20.05119498712431
57.5,20.14140671652585,20.05167085422537
58,20.10051875869082,20.0505637734923
58.5,20.1119237518582,20.04948669628399
59,19.93810490858318,20.0484331351526
59.5,19.941674727149,20.04740228841491
60,19.94008640774991,20.04639382069586
60.5,20.0658916073303,20.04540224303085
61,19.94467481266442,20.0444283757004
61.5,20.13486431834182,20.04348808615699
62,20.09675956140149,20.04261591077739
62.5,20.11261298600018,20.04172993292849
63,20.01684089941389,20.04083989230308
63.5,20.15149664676717,20.03997056870082
64,19.97641132628236,20.03911541881448
64.5,20.14101969941752,20.03827532245289
65,19.92685775850496,20.03745302203229
65.5,20.02529114146159,20.03664784180035
66,20.07919967218388,20.03585957391428
66.5,20.06436656705672,20.03508787202819
67,19.97714496589334,20.03433283783767
67.5,19.96853971726533,20.0335937350271
68,20.07028222786025,20.03287035005636
68.5,19.99856591162074,20.03216297574012
69,20.07080488402116,20.03147034012029
69.5,19.91470400013204,20.03079259536505
70,20.00105728618289,20.03012998127246
70.5,20.07160790459207,20.02948091707414
71,20.02807925712579,20.02884603467637
71.5,20.02365899606503,20.02822532804538
72,20.04312493126531,20.02761771363782
72.5,20.08733168834619,20.02702329880794
73,19.95567320887501,20.02644181753616
73.5,19.91319485200387,20.02587300380294
74,20.04200640145838,20.0253165915887
74.5,19.97905172678639,20.02477226879512
75,20.11250304320547,20.02423969898721
75.5,20.14795569202733,20.02371865476423
76,19.99794334640637,20.02320885743881
76.5,20.14384943687481,20.02271002832353
77,20.14659625928672,20.02222188873098
77.5,19.9729340226116,20.02174456370478
78,19.94014051503668,20.02127778729231
78.5,20.07605588085094,20.02082119351307
79,20.04379368937061,20.02037454816147
79.5,19.9846696645187,20.0199376170319
80,20.04115160395092,20.01951016591875
80.5,20.14356551632796,20.01909196061643
81,20.06140486537203,20.01868276691932
81.5,20.10136517785654,20.01828235062182
82,20.01627681132979,20.01789047751833
82.5,20.07851722865944,20.01750691340324
83,20.03131897670049,20.01713168460784
83.5,20.08541261183949,20.01676503958692
84,19.99463512693456,20.016406268632
84.5,19.98751654114002,20.01605516231377
85,19.97945170713174,20.01571151120291
85.5,19.9983953701604,20.01537510587011
86,19.96354193733162,20.01504573688604
86.5,19.96892635653899,20.0147231948214
87,20.06413336662433,20.01440727024687
87.5,20.08738413942606,20.01409775373314
88,19.90864794618086,20.01379565576673
88.5,20.03049552682414,20.01350053185969
89,20.07392451061604,20.01321175082723
89.5,20.02332451784368,20.01292915055341
90,20.07680629065454,20.01265256892231
90.5,20.12891295743839,20.01238184381798
91,20.04640817333445,20.01211681312448
91.5,20.03504756711397,20.0118573147259
92,19.90361725553916,20.0116031865063
92.5,20.11537286022917,20.01135433549392
93,19.98209228464025,20.01111157233823
93.5,19.89741764417968,20.01087401797038
94,19.97447329212595,20.01064154066869
94.5,20.0959077981948,20.01041400871148
95,20.05006753782116,20.01019129037708
95.5,20.09416237714705,20.00997325394383
96,20.06357534433727,20.00975976769003
96.5,19.97528985819354,20.00955069989403
97,20.03061350512523,20.00934591883415
97.5,20.10442066242247,20.00914569065209
98,19.90921185700367,20.00895016078491
98.5,20.0441793607661,20.00875881570553
